subject_name,course_name,absolute_course_url
Art & Design Courses,Music's Big Bang: The Genesis of Rock 'n' Roll,https://www.classcentral.com/course/musicsbigbang-538
Art & Design Courses,Fundamentals of Audio and Music Engineering: Part 1 Musical Sound & Electronics,https://www.classcentral.com/course/audiomusicengpart1-686
Art & Design Courses,"History of Rock, Part Two",https://www.classcentral.com/course/historyofrock2-692
Art & Design Courses,Teaching the Violin and Viola: Creating a Healthy Foundation,https://www.classcentral.com/course/teachingstrings-2303
Art & Design Courses,"The Music of the Rolling Stones, 1962-1974",https://www.classcentral.com/course/rollingstones-2352
Art & Design Courses,Cracking the Creativity Code: Discovering Ideas,https://www.classcentral.com/course/startup-entrepreneurship-discovering-ide-3497
Art & Design Courses,Desarrollando tu musicalidad,https://www.classcentral.com/course/desarrollo-musicalidad-4770
Art & Design Courses,3D Printing Applications,https://www.classcentral.com/course/3d-printing-applications-5986
Art & Design Courses,The Beauty of Kunqu Opera,https://www.classcentral.com/course/kunqu-opera-5918
Art & Design Courses,3D Printing Capstone,https://www.classcentral.com/course/3d-printing-capstone-5997
Art & Design Courses,"Musicianship: Tensions, Harmonic Function, and Modal Interchange",https://www.classcentral.com/course/musicianship-harmony-7051
Art & Design Courses,Introduction to Imagemaking,https://www.classcentral.com/course/image-making-5455
Art & Design Courses,How to Make a Comic Book (Project-Centered Course),https://www.classcentral.com/course/make-comic-books-5712
Art & Design Courses,Script Writing: Write a Pilot Episode for a TV or Web Series (Project-Centered Course),https://www.classcentral.com/course/script-writing-5718
Art & Design Courses,Creating Sounds for Electronic Music,https://www.classcentral.com/course/music-synthesizer-5728
Art & Design Courses,创新思维,https://www.classcentral.com/course/chuangxin-siwei-5555
Art & Design Courses,拍摄：像剪辑师一样拍摄,https://www.classcentral.com/course/pai-she-5571
Art & Design Courses,Principles of Photo Composition and Digital Image Post-Production,https://www.classcentral.com/course/photocourse3-5532
Art & Design Courses,导演思维：微影人的自我修养,https://www.classcentral.com/course/daoyan-siwei-weiyingren-5748
Art & Design Courses,Innovation Career Lessons from a Master,https://www.classcentral.com/course/startup-entrepreneurship-innovation-care-5516
Art & Design Courses,Graphic Design,https://www.classcentral.com/course/presentation-design-6597
Art & Design Courses,Ideas from the History of Graphic Design,https://www.classcentral.com/course/graphic-design-history-6497
Art & Design Courses,Introduction to UI Design,https://www.classcentral.com/course/ui-design-6890
Art & Design Courses,Evaluating User Interfaces,https://www.classcentral.com/course/ui-testing-6926
Art & Design Courses,In the Studio: Postwar Abstract Painting,https://www.classcentral.com/course/painting-8349
Art & Design Courses,Introduzione alla Storia dell'Architettura Contemporanea,https://www.classcentral.com/course/architettura-contemporanea-11230
Art & Design Courses,Perspectivas de música colaborativa,https://www.classcentral.com/course/perspectivas-musica-colaborativa-12433
Art & Design Courses,Mobile Interaction Design: How to Design Usable Mobile Products and Services,https://www.classcentral.com/course/mobile-interaction-design-8643
Art & Design Courses,Age of Cathedrals,https://www.classcentral.com/course/age-of-cathedrals-9671
Art & Design Courses,Разработка инновационного продукта,https://www.classcentral.com/course/developing-products-new-market-11587
Art & Design Courses,Introducción a la producción musical,https://www.classcentral.com/course/intro-produccion-musical-12419
Art & Design Courses,Composición algorítmica en Supercollider,https://www.classcentral.com/course/composicion-algoritmica-supercollider-12432
Art & Design Courses,Exploring Beethoven's Piano Sonatas Part 3,https://www.classcentral.com/course/exploring-beethoven-piano-sonatas-3-10141
Art & Design Courses,A History of Royal Fashion,https://www.classcentral.com/course/royal-fashion-10567
Art & Design Courses,Растровая графика. Adobe Photoshop CC,https://www.classcentral.com/course/rastrovaya-grafika-adobe-photoshop-12054
Art & Design Courses,Avatar Psychology for Designers,https://www.classcentral.com/course/avatar-psychology-for-designers-12004
